ID_NODO    PADRE:   RELACION    ID_HIJOS 
1    RAIZ        0          2
2          1         0         3
3          2         0         4 5
4          3         0         6 7
5          3         0         8 9
6          4         0         10
7          4         0         11
8          5         0         12 13
9          5         0         14
10         6        0      SIN HIJOS
11          7         0         15 16
12          8         0         17 18 19
13          8         0         20
14          9         0         21 22
15          11         0         23 24
16          11         0         25
17          12         0         26 27 28
18          12         0         29
19          12         0         30
20         13        0      SIN HIJOS
21          14         0         31
22          14         0         32
23         15        0      SIN HIJOS
24          15         0         33
25          16         0         34 35
26         17        0      SIN HIJOS
27          17         0         36
28          17         0         37 38
29         18        0      SIN HIJOS
30          19         0         39
31          21         0         40
32          22         0         41 42
33          24         0         43 44
34         25        0      SIN HIJOS
35         25        0      SIN HIJOS
36          27         0         45 46
37          28         0         47 48
38          28         0         49
39         30        0      SIN HIJOS
40          31         0         50
41          32         0         51
42          32         0         52
43          33         0         53
44         33        0      SIN HIJOS
45          36         0         54 55
46         36        0      SIN HIJOS
47         37        0      SIN HIJOS
48         37        0      SIN HIJOS
49         38        0      SIN HIJOS
50         40        0      SIN HIJOS
51          41         0         56 57
52          42         0         58 59
53          43         0         60 61
54          45         0         62 63
55         45        0      SIN HIJOS
56         51        0      SIN HIJOS
57         51        0      SIN HIJOS
58         52        0      SIN HIJOS
59          52         0         64 65
60          53         0         66 67
61          53         0         68 69
62         54        0      SIN HIJOS
63         54        0      SIN HIJOS
64          59         0         70
65         59        0      SIN HIJOS
66          60         0         71 72
67          60         0         73
68         61        0      SIN HIJOS
69          61         0         74
70          64         0         75 76
71          66         0         77 78
72          66         0         79
73          67         0         80
74         69        0      SIN HIJOS
75          70         0         81 82
76         70        0      SIN HIJOS
77         71        0      SIN HIJOS
78         71        0      SIN HIJOS
79          72         0         83 84
80          73         0         85
81          75         0         86 87
82          75         0         88
83          79         0         89 90
84          79         0         91 92
85          80         0         93
86          81         0         94 95
87          81         0         96 97
88         82        0      SIN HIJOS
89          83         0         98
90          83         0         99 100
91          84         0         101 102
92         84        0      SIN HIJOS
93          85         0         103
94          86         0         104
95          86         0         105 106
96         87        0      SIN HIJOS
97          87         0         107 108
98         89        0      SIN HIJOS
99          90         0         109
100          90         0         110
101          91         0         111
102         91        0      SIN HIJOS
103         93        0      SIN HIJOS
104          94         0         112
105         95        0      SIN HIJOS
106          95         0         113
107          97         0         114
108          97         0         115
109          99         0         116
110         100        0      SIN HIJOS
111         101        0      SIN HIJOS
112         104        0      SIN HIJOS
113         106        0      SIN HIJOS
114          107         0         117
115          108         0         118 119
116         109        0      SIN HIJOS
117          114         0         120
118          115         0         121 122
119          115         0         123 124
120          117         0         125
121          118         0         126
122         118        0      SIN HIJOS
123         119        0      SIN HIJOS
124          119         0         127
125         120        0      SIN HIJOS
126          121         0         128
127         124        0      SIN HIJOS
128         126        0      SIN HIJOS
