ID_NODO    PADRE:   RELACION    ID_HIJOS 
1    RAIZ        0          2
2          1         0         3 4 5
3          2         0         6 7 8
4          2         0         9 10
5          2         0         11
6          3         0         12
7         3        0      SIN HIJOS
8          3         0         13 14
9         4        0      SIN HIJOS
10          4         0         15 16
11          5         0         17
12         6        0      SIN HIJOS
13          8         0         18
14          8         0         19 20
15          10         0         21
16          10         0         22
17          11         0         23 24
18          13         0         25 26
19         14        0      SIN HIJOS
20          14         0         27 28
21          15         0         29 30
22         16        0      SIN HIJOS
23          17         0         31
24         17        0      SIN HIJOS
25          18         0         32
26          18         0         33 34
27         20        0      SIN HIJOS
28         20        0      SIN HIJOS
29         21        0      SIN HIJOS
30          21         0         35 36
31          23         0         37
32          25         0         38
33          26         0         39 40
34          26         0         41 42
35          30         0         43 44
36         30        0      SIN HIJOS
37          31         0         45
38          32         0         46 47
39          33         0         48
40          33         0         49
41         34        0      SIN HIJOS
42          34         0         50
43          35         0         51 52
44          35         0         53 54
45          37         0         55
46          38         0         56
47          38         0         57
48          39         0         58 59
49          40         0         60 61
50         42        0      SIN HIJOS
51          43         0         62 63
52          43         0         64 65
53          44         0         66 67
54         44        0      SIN HIJOS
55          45         0         68 69
56          46         0         70 71
57         47        0      SIN HIJOS
58         48        0      SIN HIJOS
59          48         0         72 73
60          49         0         74 75
61          49         0         76
62         51        0      SIN HIJOS
63         51        0      SIN HIJOS
64          52         0         77
65          52         0         78
66          53         0         79 80
67          53         0         81 82
68         55        0      SIN HIJOS
69         55        0      SIN HIJOS
70          56         0         83
71          56         0         84 85
72         59        0      SIN HIJOS
73         59        0      SIN HIJOS
74         60        0      SIN HIJOS
75         60        0      SIN HIJOS
76         61        0      SIN HIJOS
77          64         0         86 87
78          65         0         88 89
79          66         0         90
80          66         0         91 92
81         67        0      SIN HIJOS
82         67        0      SIN HIJOS
83          70         0         93
84          71         0         94 95
85         71        0      SIN HIJOS
86          77         0         96
87         77        0      SIN HIJOS
88          78         0         97 98
89          78         0         99
90         79        0      SIN HIJOS
91          80         0         100
92          80         0         101
93         83        0      SIN HIJOS
94         84        0      SIN HIJOS
95          84         0         102 103
96          86         0         104
97          88         0         105 106
98          88         0         107
99         89        0      SIN HIJOS
100          91         0         108
101          92         0         109 110
102          95         0         111 112
103         95        0      SIN HIJOS
104         96        0      SIN HIJOS
105          97         0         113 114
106          97         0         115 116
107          98         0         117
108          100         0         118 119
109         101        0      SIN HIJOS
110          101         0         120
111          102         0         121
112         102        0      SIN HIJOS
113          105         0         122
114          105         0         123
115          106         0         124 125
116          106         0         126
117         107        0      SIN HIJOS
118         108        0      SIN HIJOS
119          108         0         127
120          110         0         128
121         111        0      SIN HIJOS
122         113        0      SIN HIJOS
123          114         0         129 130
124          115         0         131 132
125          115         0         133
126          116         0         134
127          119         0         135 136
128         120        0      SIN HIJOS
129          123         0         137
130         123        0      SIN HIJOS
131          124         0         138 139
132          124         0         140 141
133         125        0      SIN HIJOS
134          126         0         142
135          127         0         143
136          127         0         144 145
137          129         0         146 147
138          131         0         148 149
139         131        0      SIN HIJOS
140          132         0         150 151
141         132        0      SIN HIJOS
142         134        0      SIN HIJOS
143         135        0      SIN HIJOS
144          136         0         152
145          136         0         153 154
146          137         0         155 156
147          137         0         157 158
148          138         0         159 160
149          138         0         161
150         140        0      SIN HIJOS
151         140        0      SIN HIJOS
152          144         0         162
153         145        0      SIN HIJOS
154          145         0         163 164
155         146        0      SIN HIJOS
156         146        0      SIN HIJOS
157          147         0         165
158         147        0      SIN HIJOS
159          148         0         166 167
160          148         0         168
161         149        0      SIN HIJOS
162          152         0         169
163         154        0      SIN HIJOS
164          154         0         170
165          157         0         171 172
166          159         0         173
167         159        0      SIN HIJOS
168          160         0         174 175
169          162         0         176
170         164        0      SIN HIJOS
171         165        0      SIN HIJOS
172          165         0         177
173          166         0         178 179
174          168         0         180 181
175         168        0      SIN HIJOS
176          169         0         182 183
177         172        0      SIN HIJOS
178         173        0      SIN HIJOS
179          173         0         184 185
180          174         0         186 187
181          174         0         188
182         176        0      SIN HIJOS
183          176         0         189 190
184          179         0         191
185          179         0         192 193
186         180        0      SIN HIJOS
187          180         0         194
188          181         0         195 196
189          183         0         197
190          183         0         198 199
191          184         0         200 201
192          185         0         202 203
193         185        0      SIN HIJOS
194          187         0         204
195          188         0         205
196          188         0         206
197          189         0         207 208
198          190         0         209
199          190         0         210 211
200          191         0         212
201          191         0         213
202          192         0         214
203          192         0         215 216
204         194        0      SIN HIJOS
205         195        0      SIN HIJOS
206          196         0         217
207         197        0      SIN HIJOS
208          197         0         218 219
209          198         0         220 221
210         199        0      SIN HIJOS
211          199         0         222 223
212         200        0      SIN HIJOS
213          201         0         224 225
214         202        0      SIN HIJOS
215         203        0      SIN HIJOS
216          203         0         226 227
217         206        0      SIN HIJOS
218          208         0         228
219         208        0      SIN HIJOS
220          209         0         229
221         209        0      SIN HIJOS
222         211        0      SIN HIJOS
223          211         0         230 231
224          213         0         232
